"chr20,119103,138049","chr20,523682,536237",6.64
"chr20,161620,170741","chr20,73978,76092",5.19
"chr20,233983,239479","chr20,206075,209203",6.83
"chr20,268639,284501","chr20,293143,304037",7.28
"chr20,268639,284501","chr20,304038,305698",8.79
"chr20,305699,309123","chr20,293143,304037",5.5
"chr20,325598,341635","chr20,344012,352668",5.28
"chr20,325598,341635","chr20,395135,402246",5.72
"chr20,325598,341635","chr20,402247,412789",5.39
"chr20,325598,341635","chr20,445271,448891",5.35
"chr20,325598,341635","chr20,448892,453463",12.46
"chr20,325598,341635","chr20,453464,459226",5.75
"chr20,325598,341635","chr20,459227,463619",14.87
"chr20,325598,341635","chr20,463620,473617",5.61
"chr20,325598,341635","chr20,499067,503178",8.34
"chr20,325598,341635","chr20,503179,512437",5.53
"chr20,325598,341635","chr20,515102,517970",6.54
"chr20,325598,341635","chr20,523682,536237",7.65
"chr20,360802,363329","chr20,325598,341635",6.4
"chr20,360802,363329","chr20,379229,381389",5.51
"chr20,360802,363329","chr20,448892,453463",6.66
"chr20,360802,363329","chr20,512438,515101",6.78
"chr20,381390,395134","chr20,325598,341635",12.8
"chr20,381390,395134","chr20,523682,536237",5.75
"chr20,418940,445270","chr20,325598,341635",10.31
"chr20,418940,445270","chr20,341636,344011",6.89
"chr20,418940,445270","chr20,344012,352668",6.56
"chr20,418940,445270","chr20,395135,402246",6.25
"chr20,418940,445270","chr20,448892,453463",9.11
"chr20,627212,629421","chr20,325598,341635",6.55
"chr20,627212,629421","chr20,523682,536237",6.76
"chr20,807466,818974","chr20,1091283,1092581",5.71
"chr20,1092582,1104787","chr20,1307234,1323113",5.76
"chr20,1092582,1104787","chr20,1372601,1376616",8.03
"chr20,1307234,1323113","chr20,1367539,1371510",8.53
"chr20,1307234,1323113","chr20,1414615,1418228",5.01
"chr20,1372601,1376616","chr20,1278859,1284863",5.31
"chr20,1372601,1376616","chr20,1300166,1302520",6.34
"chr20,1372601,1376616","chr20,1302521,1307233",10.16
"chr20,1372601,1376616","chr20,1380653,1383980",5.06
"chr20,1372601,1376616","chr20,1756866,1763168",5.07
"chr20,1446765,1460770","chr20,1372601,1376616",6.45
"chr20,1597364,1604603","chr20,1307234,1323113",6.83
"chr20,1597364,1604603","chr20,1446765,1460770",5.35
"chr20,1597364,1604603","chr20,1637593,1644192",6.93
"chr20,2079500,2083139","chr20,2450020,2451863",5.85
"chr20,2450020,2451863","chr20,2183412,2189844",6.32
"chr20,2501611,2506026","chr20,2493071,2498494",6.16
"chr20,2622980,2637446","chr20,2493071,2498494",6.15
"chr20,2637447,2648603","chr20,2856506,2862882",5.76
"chr20,2666520,2682085","chr20,2792794,2798585",6.46
"chr20,2666520,2682085","chr20,2832954,2847542",7.93
"chr20,2666520,2682085","chr20,2970970,2977445",5.5
"chr20,2666520,2682085","chr20,2994929,2998369",5.8
"chr20,2683195,2688934","chr20,2819826,2832953",5.84
"chr20,2683195,2688934","chr20,2832954,2847542",9.52
"chr20,2792794,2798585","chr20,2493071,2498494",6.03
"chr20,2792794,2798585","chr20,2596351,2605392",5.42
"chr20,2792794,2798585","chr20,2710810,2714570",5.19
"chr20,2792794,2798585","chr20,2748384,2756959",9.91
"chr20,2792794,2798585","chr20,3084797,3089548",5.04
"chr20,2819826,2832953","chr20,2596351,2605392",7.44
"chr20,2819826,2832953","chr20,2658048,2666519",5.63
"chr20,2819826,2832953","chr20,2692510,2694687",5.21
"chr20,2819826,2832953","chr20,2710810,2714570",5.05
"chr20,2819826,2832953","chr20,2723456,2728246",6.13
"chr20,2819826,2832953","chr20,2748384,2756959",7.6
"chr20,2819826,2832953","chr20,2761267,2770056",5.47
"chr20,2819826,2832953","chr20,3019300,3022957",5.07
"chr20,2819826,2832953","chr20,3114709,3125793",6.31
"chr20,2832954,2847542","chr20,2688935,2691317",9.04
"chr20,2832954,2847542","chr20,2718026,2723152",5.55
"chr20,2832954,2847542","chr20,2728247,2737972",5.58
"chr20,2832954,2847542","chr20,2748384,2756959",5.66
"chr20,2832954,2847542","chr20,2792794,2798585",6.09
"chr20,2832954,2847542","chr20,2848703,2855658",5.06
